iter	RMSE
0	7.413909289
1	7.109809081
2	6.830053819
3	6.544637409
4	6.282295727
5	6.026779386
6	5.796078495
7	5.571691879
8	5.36355687
9	5.162657935
10	4.972421806
11	4.799063735
12	4.626603396
13	4.458880546
14	4.310971026
15	4.167960829
16	4.022489452
17	3.888156661
18	3.763169206
19	3.643123589
20	3.527107457
21	3.414022223
22	3.308654275
23	3.212499964
24	3.121855259
25	3.035058253
26	2.947877618
27	2.868182521
28	2.792091663
29	2.718350367
30	2.65018061
31	2.586666293
32	2.520908919
33	2.459831654
34	2.401869429
35	2.344172749
36	2.289968619
37	2.239130452
38	2.19036806
39	2.138208733
40	2.091939724
41	2.041924761
42	1.996512167
43	1.954168478
44	1.914230975
45	1.875388737
46	1.833992162
47	1.794140593
48	1.756478606
49	1.72131914
50	1.68433148
51	1.651565343
52	1.617240755
53	1.58366849
54	1.552221599
55	1.52085493
56	1.489967327
57	1.458584883
58	1.430301526
59	1.402599156
60	1.374549197
61	1.349999617
62	1.323818763
63	1.298320702
64	1.274666577
65	1.250939113
66	1.227891633
67	1.204960887
68	1.183523779
69	1.161713237
70	1.142022567
71	1.123385396
72	1.105068775
73	1.086093834
74	1.067947009
75	1.050741637
76	1.03348613
77	1.017457967
78	1.001049753
79	0.9858866757
80	0.9712904952
81	0.9562711909
82	0.9425661318
83	0.9288701182
84	0.915021435
85	0.9012313468
86	0.8890878386
87	0.8773999295
88	0.8658462924
89	0.8550730194
90	0.8434869153
91	0.8320126032
92	0.8217052231
93	0.8119223071
94	0.8018765525
95	0.792085192
96	0.7832508167
97	0.7742097825
98	0.765503272
99	0.756985603
100	0.7490046181
101	0.741692822
102	0.7344704236
103	0.7268349658
104	0.7203077817
105	0.7126683939
106	0.706348123
107	0.6997341175
108	0.6931742567
109	0.6873713466
110	0.6819423839
111	0.6756271071
112	0.6701963923
113	0.6649660659
114	0.6599574225
115	0.6546811815
116	0.6494114863
117	0.6442594381
118	0.6391736482
119	0.6351538046
