iter	Passed	Remaining
0	8	8026
1	17	8628
2	31	10477
3	44	11105
4	54	10821
5	63	10572
6	74	10542
7	81	10062
8	92	10169
9	97	9677
10	102	9250
11	107	8852
12	111	8469
13	115	8137
14	119	7868
15	125	7690
16	129	7464
17	133	7272
18	138	7151
19	142	7006
20	147	6861
21	151	6741
22	156	6629
23	160	6517
24	164	6420
25	169	6333
26	173	6266
27	178	6182
28	182	6116
29	187	6048
30	191	5993
31	196	5943
32	200	5872
33	204	5822
34	208	5752
35	212	5700
36	218	5679
37	230	5837
38	241	5945
39	248	5957
40	253	5923
41	257	5881
42	261	5818
43	265	5771
44	269	5729
45	275	5707
46	280	5677
47	284	5643
48	290	5634
49	294	5602
50	299	5575
51	304	5544
52	308	5515
53	312	5476
54	316	5440
55	321	5414
56	325	5382
57	329	5356
58	334	5335
59	339	5315
60	343	5294
61	349	5285
62	354	5273
63	358	5237
64	362	5214
65	367	5197
66	370	5164
67	375	5152
68	380	5127
69	384	5112
70	389	5101
71	393	5072
72	397	5053
73	402	5035
74	407	5021
75	410	4988
76	415	4975
77	418	4944
78	422	4920
79	426	4903
80	430	4887
81	436	4883
82	440	4864
83	444	4842
84	448	4830
85	453	4824
86	458	4815
87	463	4803
88	468	4796
89	472	4778
90	477	4765
91	481	4751
92	485	4736
93	489	4716
94	494	4706
95	498	4696
96	503	4685
97	507	4672
98	512	4662
99	516	4644
100	520	4636
101	525	4622
102	529	4608
103	534	4604
104	538	4590
105	542	4574
106	547	4566
107	552	4559
108	556	4547
109	560	4534
110	564	4522
111	569	4512
112	573	4504
113	578	4496
114	582	4482
115	587	4473
116	592	4467
117	597	4465
118	601	4456
119	605	4438
120	609	4428
121	613	4414
122	617	4405
123	621	4392
124	626	4386
125	630	4373
126	634	4364
127	639	4355
128	643	4345
129	648	4340
130	653	4334
131	663	4365
132	668	4359
133	673	4349
134	676	4337
135	681	4330
136	686	4321
137	690	4313
138	695	4305
139	699	4298
140	704	4290
141	708	4283
142	712	4272
143	717	4262
144	722	4257
145	726	4246
146	731	4242
147	735	4234
148	740	4229
149	745	4226
150	749	4215
151	754	4209
152	758	4198
153	762	4190
154	767	4183
155	772	4178
156	777	4172
157	781	4165
158	786	4161
159	791	4157
160	796	4149
161	800	4143
162	805	4136
163	808	4123
164	813	4116
165	817	4107
166	820	4094
167	825	4088
168	830	4084
169	835	4081
170	840	4072
171	844	4066
172	849	4063
173	854	4058
174	859	4050
175	864	4046
176	868	4038
177	873	4034
178	877	4025
179	880	4012
180	884	4002
181	889	3996
182	894	3992
183	898	3984
184	902	3977
185	907	3972
186	913	3969
187	918	3965
188	921	3952
189	924	3941
190	927	3928
191	931	3920
192	936	3915
193	941	3910
194	946	3909
195	951	3902
196	955	3896
197	960	3890
198	963	3878
199	966	3865
200	970	3859
201	975	3854
202	979	3846
203	984	3840
204	988	3833
205	994	3832
206	997	3820
207	1001	3814
208	1007	3811
209	1011	3805
210	1016	3800
211	1020	3794
212	1025	3788
213	1030	3783
214	1035	3780
215	1040	3776
216	1046	3776
217	1051	3771
218	1054	3759
219	1059	3755
220	1063	3750
221	1069	3746
222	1074	3742
223	1077	3732
224	1080	3721
225	1083	3710
226	1089	3708
227	1093	3701
228	1098	3697
229	1102	3690
230	1107	3687
231	1112	3682
232	1117	3677
233	1121	3670
234	1126	3666
235	1130	3660
236	1135	3654
237	1140	3650
238	1145	3646
239	1149	3640
240	1153	3632
241	1158	3630
242	1164	3626
243	1166	3614
244	1172	3611
245	1176	3606
246	1180	3599
247	1184	3590
248	1190	3589
249	1194	3583
250	1199	3579
251	1204	3576
252	1210	3573
253	1214	3566
254	1217	3558
255	1221	3551
256	1226	3547
257	1232	3543
258	1236	3538
259	1245	3545
260	1249	3537
261	1284	3619
262	1290	3617
263	1306	3641
264	1312	3639
265	1318	3639
266	1324	3635
267	1329	3630
268	1334	3626
269	1340	3624
270	1345	3618
271	1349	3612
272	1353	3604
273	1358	3599
274	1363	3594
275	1367	3588
276	1371	3579
277	1376	3574
278	1380	3567
279	1384	3560
280	1389	3554
281	1393	3548
282	1396	3539
283	1401	3532
284	1405	3527
285	1410	3522
286	1415	3516
287	1420	3512
288	1425	3506
289	1429	3499
290	1433	3493
291	1438	3486
292	1443	3482
293	1447	3475
294	1451	3469
295	1456	3464
296	1460	3458
297	1465	3452
298	1470	3447
299	1475	3441
300	1479	3436
301	1483	3428
302	1488	3422
303	1490	3413
304	1495	3407
305	1499	3401
306	1504	3396
307	1509	3391
308	1513	3385
309	1518	3379
310	1523	3374
311	1527	3368
312	1532	3363
313	1537	3359
314	1542	3353
315	1546	3347
316	1550	3339
317	1554	3334
318	1559	3329
319	1563	3323
320	1568	3318
321	1573	3313
322	1578	3307
323	1583	3304
324	1589	3300
325	1594	3296
326	1599	3290
327	1603	3285
328	1607	3277
329	1610	3270
330	1615	3264
331	1620	3259
332	1624	3254
333	1629	3249
334	1634	3244
335	1639	3240
336	1642	3232
337	1647	3226
338	1652	3222
339	1657	3218
340	1662	3212
341	1667	3207
342	1672	3202
343	1675	3195
344	1680	3189
345	1684	3183
346	1688	3177
347	1692	3171
348	1696	3165
349	1702	3161
350	1707	3156
351	1711	3151
352	1716	3145
353	1721	3140
354	1725	3134
355	1730	3129
356	1735	3125
357	1739	3119
358	1744	3115
359	1749	3110
360	1753	3104
361	1758	3099
362	1763	3093
363	1768	3089
364	1772	3084
365	1777	3079
366	1782	3073
367	1787	3069
368	1791	3064
369	1795	3057
370	1800	3052
371	1805	3047
372	1808	3039
373	1812	3033
374	1816	3028
375	1820	3021
376	1823	3013
377	1827	3007
378	1832	3002
379	1837	2997
380	1840	2990
381	1845	2985
382	1850	2981
383	1855	2976
384	1859	2970
385	1864	2965
386	1869	2961
387	1873	2955
388	1878	2950
389	1883	2945
390	1887	2940
391	1892	2934
392	1897	2930
393	1902	2925
394	1905	2919
395	1910	2913
396	1915	2909
397	1920	2904
398	1924	2898
399	1928	2893
400	1933	2888
401	1938	2883
402	1943	2878
403	1948	2874
404	1953	2870
405	1958	2864
406	1961	2857
407	1965	2851
408	1970	2846
409	1974	2841
410	1979	2836
411	1983	2830
412	1988	2825
413	1993	2821
